iter	Passed	Remaining
0	138	138043
1	139	69493
2	140	46614
3	141	35172
4	142	28313
5	143	23793
6	145	20590
7	146	18183
8	148	16337
9	149	14819
10	151	13623
11	153	12605
12	154	11732
13	155	10966
14	156	10302
15	157	9716
16	159	9194
17	160	8728
18	160	8312
19	161	7933
20	162	7586
21	163	7283
22	164	7006
23	166	6764
24	167	6522
25	168	6302
26	169	6096
27	170	5905
28	171	5726
29	171	5561
30	172	5404
31	173	5257
32	174	5119
33	175	4993
34	176	4872
35	177	4756
36	178	4651
37	179	4554
38	180	4455
39	181	4362
40	182	4271
41	183	4184
42	184	4103
43	185	4025
44	186	3953
45	187	3882
46	188	3819
47	189	3753
48	190	3689
49	190	3628
50	191	3570
51	192	3511
52	193	3457
53	194	3405
54	195	3358
55	196	3308
56	197	3259
57	197	3213
58	198	3168
59	199	3125
60	200	3081
61	200	3040
62	201	3000
63	202	2961
64	203	2924
65	204	2888
66	204	2853
67	205	2813
68	206	2780
69	206	2748
70	207	2718
71	208	2690
72	209	2661
73	210	2632
74	211	2603
75	211	2576
76	212	2551
77	213	2524
78	214	2500
79	215	2476
80	216	2453
81	217	2429
82	217	2406
83	218	2383
84	219	2358
85	219	2337
86	220	2313
87	221	2292
88	222	2274
89	223	2254
90	223	2235
91	224	2216
92	225	2198
93	226	2179
94	226	2162
95	227	2144
96	228	2128
97	229	2111
98	230	2095
99	231	2079
100	231	2065
101	232	2045
102	233	2031
103	234	2016
104	234	2002
105	235	1988
106	237	1981
107	238	1968
108	239	1954
109	239	1941
110	240	1928
111	241	1916
112	242	1904
113	243	1891
114	244	1879
115	244	1866
116	245	1854
117	246	1842
118	247	1829
119	247	1818
120	248	1806
121	249	1796
122	250	1783
123	251	1774
124	252	1764
125	252	1754
126	253	1744
127	254	1732
128	255	1722
129	255	1712
130	256	1703
131	257	1693
132	258	1684
133	259	1674
134	259	1665
135	260	1657
136	261	1648
137	262	1639
138	263	1630
139	264	1621
140	264	1614
141	265	1606
142	266	1598
143	267	1590
144	268	1582
145	269	1574
146	269	1566
147	270	1559
148	271	1552
149	272	1544
150	273	1538
151	274	1530
152	275	1523
153	275	1516
154	276	1509
155	277	1502
156	278	1495
157	279	1490
158	280	1484
159	281	1477
160	282	1471
161	283	1464
162	283	1458
163	284	1451
164	285	1445
165	286	1439
166	287	1433
167	288	1426
168	288	1420
169	289	1415
170	290	1409
171	291	1403
172	292	1398
173	293	1393
174	294	1388
175	295	1383
176	296	1377
177	297	1371
178	297	1365
179	298	1360
180	299	1352
181	299	1347
182	300	1342
183	301	1336
184	302	1331
185	303	1326
186	304	1321
187	304	1316
188	305	1312
189	306	1307
190	307	1303
191	308	1300
192	310	1296
193	311	1294
194	312	1291
195	314	1288
196	315	1285
197	316	1281
198	317	1277
199	318	1273
200	319	1268
201	320	1265
202	321	1260
203	322	1258
204	323	1255
205	325	1252
206	326	1248
207	327	1245
208	328	1241
209	328	1237
210	329	1233
211	331	1230
212	332	1227
213	333	1224
214	334	1221
215	335	1217
216	337	1216
217	338	1213
218	339	1210
219	340	1207
220	341	1203
221	342	1200
222	343	1196
223	344	1193
224	345	1189
225	346	1185
226	347	1182
227	348	1179
228	349	1175
229	350	1172
230	351	1169
231	352	1166
232	353	1162
233	354	1159
234	355	1156
235	356	1153
236	357	1149
237	358	1146
238	359	1143
239	360	1141
240	361	1138
241	362	1135
242	363	1131
243	364	1128
244	365	1126
245	366	1123
246	367	1120
247	368	1117
248	369	1114
249	370	1111
250	371	1109
251	372	1106
252	373	1103
253	374	1100
254	375	1097
255	376	1094
256	377	1091
257	378	1088
258	379	1087
259	381	1084
260	382	1082
261	383	1079
262	384	1076
263	384	1073
264	385	1070
265	386	1067
266	387	1064
267	388	1062
268	389	1059
269	390	1056
270	391	1054
271	392	1051
272	393	1048
273	394	1045
274	395	1043
275	396	1040
276	397	1038
277	399	1036
278	400	1034
279	401	1032
280	402	1029
281	403	1027
282	404	1024
283	405	1022
284	406	1020
285	407	1017
286	408	1015
287	409	1013
288	410	1011
289	412	1008
290	413	1006
291	414	1004
292	415	1001
293	416	1000
294	417	998
295	418	996
296	419	994
297	420	991
298	421	989
299	423	987
300	424	984
301	424	982
