iter	Passed	Remaining
0	134	134561
1	136	67914
2	136	45529
3	137	34321
4	138	27598
5	139	23098
6	140	19881
7	140	17469
8	141	15605
9	144	14281
10	145	13045
11	146	12057
12	147	11183
13	148	10439
14	149	9798
15	150	9275
16	152	8795
17	153	8347
18	153	7951
19	155	7598
20	156	7277
21	158	7032
22	159	6756
23	159	6501
24	160	6264
25	161	6056
26	162	5857
27	163	5669
28	164	5499
29	165	5355
30	166	5207
31	167	5074
32	168	4938
33	169	4809
34	170	4688
35	170	4573
36	171	4471
37	172	4375
38	173	4282
39	174	4190
40	175	4102
41	176	4020
42	177	3941
43	177	3863
44	179	3801
45	180	3735
46	181	3679
47	182	3617
48	183	3559
49	184	3503
50	185	3447
51	187	3412
52	188	3369
53	189	3320
54	190	3273
55	191	3228
56	192	3181
57	193	3140
58	194	3105
59	195	3065
60	196	3024
61	197	2983
62	197	2944
63	198	2907
64	199	2871
65	200	2837
66	201	2805
67	202	2771
68	203	2740
69	203	2709
70	204	2679
71	205	2649
72	206	2621
73	207	2593
74	208	2565
75	209	2547
76	210	2521
77	211	2496
78	211	2471
79	212	2447
80	213	2423
81	214	2399
82	214	2372
83	215	2351
84	216	2330
85	217	2309
86	218	2290
87	218	2269
88	219	2251
89	220	2232
90	221	2213
91	222	2194
92	224	2185
93	225	2171
94	226	2154
95	227	2138
96	227	2121
97	228	2103
98	229	2087
99	230	2071
100	231	2056
101	232	2046
102	233	2033
103	234	2022
104	235	2010
105	237	2003
106	238	1994
107	240	1982
108	240	1969
109	241	1955
110	242	1942
111	243	1929
112	244	1918
113	245	1907
114	246	1896
115	247	1886
116	248	1876
117	249	1865
118	250	1854
119	251	1843
120	252	1833
121	253	1823
122	254	1814
123	255	1808
124	256	1798
125	257	1788
126	258	1777
127	259	1766
128	260	1756
129	261	1746
130	262	1742
131	263	1735
132	264	1725
133	265	1718
134	266	1709
135	267	1700
136	268	1690
137	269	1682
138	270	1675
139	271	1668
140	272	1660
141	273	1650
142	274	1642
143	274	1634
144	275	1626
145	277	1623
146	278	1617
147	279	1610
148	280	1604
149	282	1598
150	282	1591
151	283	1583
152	285	1579
153	286	1572
154	287	1565
155	288	1558
156	289	1552
157	289	1544
158	290	1537
159	292	1536
160	293	1529
161	294	1523
162	295	1517
163	296	1511
164	297	1504
165	298	1498
166	299	1493
167	300	1488
168	301	1482
169	302	1476
170	303	1470
171	304	1465
172	305	1458
173	306	1453
174	307	1449
175	308	1445
176	309	1440
177	310	1434
178	311	1428
179	312	1422
180	313	1417
181	314	1413
182	315	1409
183	316	1404
184	317	1397
185	318	1393
186	319	1388
187	320	1382
188	321	1378
189	322	1374
190	323	1370
191	324	1365
192	325	1360
193	326	1355
194	327	1350
195	328	1346
196	329	1343
197	330	1339
198	331	1334
199	332	1329
200	333	1325
201	334	1321
202	335	1317
203	337	1315
204	338	1311
205	339	1307
206	340	1303
207	341	1299
208	342	1294
209	343	1293
210	345	1290
211	346	1286
212	347	1282
213	348	1278
214	348	1273
215	349	1269
216	351	1267
217	352	1264
218	353	1260
219	354	1255
220	355	1251
221	355	1247
222	356	1243
223	357	1239
224	358	1236
225	359	1232
226	360	1228
227	361	1224
228	362	1220
229	363	1216
230	364	1212
231	365	1209
232	366	1206
233	367	1202
234	368	1198
235	369	1195
236	370	1191
237	370	1186
238	371	1182
239	372	1178
240	373	1174
241	373	1171
242	374	1167
243	375	1163
244	376	1159
245	377	1156
246	378	1152
247	378	1148
248	379	1144
249	380	1142
250	381	1138
251	382	1135
252	383	1131
253	384	1128
254	385	1125
255	385	1121
256	386	1118
257	387	1114
258	388	1112
259	389	1109
260	390	1106
261	391	1103
262	392	1100
263	393	1097
264	394	1093
265	395	1091
266	396	1088
267	397	1084
268	398	1081
269	398	1078
270	399	1074
271	400	1071
272	401	1068
273	401	1064
274	402	1061
275	403	1058
276	404	1056
277	405	1053
278	406	1050
279	407	1046
280	407	1043
281	408	1040
282	409	1037
283	410	1034
284	411	1032
285	412	1030
286	413	1027
287	414	1024
288	415	1021
289	415	1018
290	416	1015
291	417	1013
292	418	1010
293	419	1008
294	420	1005
295	421	1002
296	422	999
297	422	996
298	423	993
299	424	990
300	426	989
301	427	987
302	428	985
303	429	982
304	429	979
305	430	977
306	431	974
307	432	971
308	433	969
309	434	967
310	435	964
311	436	961
312	436	958
313	437	955
314	438	953
315	439	950
316	440	949
317	441	946
318	442	944
319	443	941
320	444	939
321	444	936
322	445	934
323	446	931
324	447	928
325	448	927
326	449	924
327	450	922
328	451	920
329	451	917
330	452	914
331	453	912
332	454	909
333	455	907
334	456	905
335	457	903
336	458	901
337	458	898
338	459	896
339	460	893
340	460	890
341	461	888
342	462	886
343	463	884
344	464	882
345	465	879
346	466	877
347	466	874
348	467	872
349	468	869
350	469	867
351	470	865
352	471	863
353	472	861
354	472	859
355	473	856
356	474	854
357	475	852
358	475	849
359	476	847
360	477	845
361	478	843
362	479	841
363	480	839
364	481	837
365	481	834
366	482	832
367	483	830
368	484	828
369	485	826
370	486	824
371	487	822
372	488	820
373	489	818
374	489	816
375	490	814
376	491	812
377	492	809
378	493	808
379	494	806
380	494	804
381	495	801
382	496	799
383	497	798
384	498	796
385	499	794
386	500	792
387	501	790
388	502	788
389	503	786
390	503	784
391	504	782
392	505	780
393	506	778
394	507	776
395	507	774
396	508	772
397	509	771
398	510	769
399	511	767
400	512	765
401	513	763
402	514	761
403	515	760
404	516	758
405	517	756
406	518	755
407	519	753
408	521	753
409	522	751
410	524	751
411	525	750
412	526	748
413	527	746
414	528	744
415	529	743
416	530	742
417	531	740
418	532	738
419	533	737
420	534	735
421	535	733
422	537	732
423	538	731
424	539	730
425	540	728
426	541	726
427	542	724
428	543	723
429	545	722
430	546	721
431	547	719
432	548	718
433	549	716
434	550	714
435	551	713
436	552	711
437	553	710
438	554	708
439	555	706
440	556	705
441	557	703
442	558	701
443	559	700
444	560	698
445	561	697
446	562	695
447	563	694
448	564	693
449	565	691
450	566	689
451	567	687
452	568	686
453	569	684
454	570	683
455	571	681
456	572	679
457	573	678
458	574	676
459	576	676
460	577	674
461	578	673
462	579	671
463	579	669
464	580	668
465	581	666
466	583	665
467	584	664
468	585	662
469	586	661
470	587	659
471	588	657
472	588	656
473	590	655
474	591	654
475	592	652
476	593	650
477	594	648
478	595	647
479	596	645
480	597	644
481	598	643
482	599	641
483	600	639
484	601	638
485	602	636
486	603	635
487	604	634
488	605	633
489	607	631
490	608	630
491	609	628
492	610	627
493	611	626
494	612	625
495	613	623
496	614	622
497	615	620
498	617	619
499	618	618
500	619	617
501	621	616
502	621	614
503	622	613
504	623	611
505	624	609
506	625	608
507	626	606
508	627	605
509	628	603
510	629	602
511	630	600
512	631	599
513	632	598
514	633	596
515	634	595
516	636	594
517	637	592
518	638	591
519	639	590
520	640	588
521	641	587
522	642	586
523	643	584
524	645	583
525	646	582
526	647	580
527	648	579
528	649	578
529	650	576
530	651	575
531	652	574
532	653	572
533	655	571
534	655	570
535	657	568
536	659	568
537	660	566
538	661	565
539	662	564
540	663	562
541	664	561
542	666	560
543	667	559
544	668	558
545	669	556
546	670	555
547	672	554
548	673	553
549	675	552
550	676	551
551	677	549
552	678	548
553	679	546
554	680	545
555	684	546
556	687	547
557	689	546
558	691	545
559	693	544
560	694	543
561	696	543
562	699	542
563	700	541
564	701	540
565	712	546
566	715	546
567	718	546
568	720	545
569	721	544
570	724	544
571	730	546
572	732	545
573	733	544
574	734	543
575	736	542
576	739	542
577	743	542
578	745	542
579	747	541
580	749	540
581	751	539
582	752	538
583	754	537
584	756	536
585	758	535
586	759	534
587	760	532
588	762	531
589	765	531
590	766	530
591	767	529
592	769	528
593	770	526
594	772	525
595	773	524
596	775	523
597	777	522
598	778	521
599	780	520
600	781	518
601	782	517
602	785	516
603	786	515
604	787	514
605	789	513
606	789	511
607	791	510
608	793	509
609	795	508
610	796	506
611	797	505
612	798	504
613	800	503
614	802	502
615	804	501
616	806	500
617	807	499
618	809	498
619	811	497
620	813	496
621	814	495
622	816	493
623	817	492
624	818	491
625	820	490
626	822	489
627	824	488
628	825	486
629	826	485
630	827	483
631	829	483
632	831	482
633	832	480
634	833	479
635	835	478
636	836	476
637	838	475
638	840	474
639	841	473
640	842	471
641	843	470
642	845	469
643	846	468
644	847	466
645	849	465
646	850	464
647	852	462
648	854	462
649	856	461
650	858	459
651	859	458
652	860	457
653	861	456
654	863	454
655	864	453
656	865	451
657	866	450
658	867	449
659	869	447
660	870	446
661	871	444
662	872	443
663	873	442
664	875	441
665	876	439
666	878	438
667	879	436
668	880	435
669	882	434
670	884	433
671	885	432
672	886	430
673	887	429
674	889	428
675	890	426
676	891	425
677	893	424
